char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
ر س ر,R S R,ر,س,ر,R,S,R,575,7500
ب د ا,A D B,ب,د,ا,B,D,A,9003,30000
ا ا ا,A A A,ا,ا,ا,A,A,A,48,300000
ق ن ل,L N G,ق,ن,ل,G,N,L,33,37000
ص ر ل,L R X,ص,ر,ل,X,R,L,3,110000
ب و ط,T U B,ب,و,ط,B,U,T,3305,7000
د و ا,A U D,د,و,ا,D,U,A,5000,18000
ل ط ك,K T L,ل,ط,ك,L,T,K,20,25000
ك ى ى,V V K,ك,ى,ى,K,V,V,8,360000
ى ح ا,A J V,ى,ح,ا,V,J,A,11,50000
ن ر د,D R N,ن,ر,د,N,R,D,636,5000
ى ق ق,G G V,ى,ق,ق,V,G,G,93,30000
ل ق ى,V G L,ل,ق,ى,L,G,V,25,13000
و ل س,S L U,و,ل,س,U,L,S,255,9000
ل م ى,V Z L,ل,م,ى,L,Z,V,676,15000
ه م ص,X Z H,ه,م,ص,H,Z,X,7,77
ح ل و,U L J,ح,ل,و,J,L,U,46,39000
د ل ى,V L D,د,ل,ى,D,L,V,9919,20000
ب ح ر,R J B,ب,ح,ر,B,J,R,616,30000
ن ع س,S E N,ن,ع,س,N,E,S,13,30000
ط ل ه,H L T,ط,ل,ه,T,L,H,54,30000
ل م ق,G Z L,ل,م,ق,L,Z,G,2,125
ح ا ا,A A J,ح,ا,ا,J,A,A,42,14000
ى ص ل,L X V,ى,ص,ل,V,X,L,200,7000
ى ه ا,A H V,ى,ه,ا,V,H,A,23,25000
ر ع ك,K E R,ر,ع,ك,R,E,K,7,100000
ع م ك,K Z E,ع,م,ك,E,Z,K,422,15000
ه ى ى,V V H,ه,ى,ى,H,V,V,102,4000
و ه و,U H U,و,ه,و,U,H,U,383,7000
ق ل ط,T L G,ق,ل,ط,G,L,T,63,20000
و ح ب,B J U,و,ح,ب,U,J,B,42,20000
م ق ب,B G Z,م,ق,ب,Z,G,B,2,130000
ا ن ل,L N A,ا,ن,ل,A,N,L,46,8000
ى ا ب,B A V,ى,ا,ب,V,A,B,20,15000
ط ص ك,K X T,ط,ص,ك,T,X,K,454,4500
ن ل ر,R L N,ن,ل,ر,N,L,R,97,10000
و ق و,U G U,و,ق,و,U,G,U,28,11000
ه ى ه,H V H,ه,ى,ه,H,V,H,747,7000
ه ص ط,T X H,ه,ص,ط,H,X,T,45,6500
ا س س,S S A,ا,س,س,A,S,S,2030,300000
و ع ر,R E U,و,ع,ر,U,E,R,560,29500
د و ن,N U D,د,و,ن,D,U,N,111,100
ق ل ب,B L G,ق,ل,ب,G,L,B,623,15000
ر ن ك,K N R,ر,ن,ك,R,N,K,222,16000
ه د ب,B D H,ه,د,ب,H,D,B,126,18000
ب ب ب,B B B,ب,ب,ب,B,B,B,2243,10000
س ر ب,B R S,س,ر,ب,S,R,B,3,27000
م ح ك,K J Z,م,ح,ك,Z,J,K,79,10000
ق ر ا,A R G,ق,ر,ا,G,R,A,17,13000
ط م ح,J Z T,ط,م,ح,T,Z,J,505,20000
ر ص ح,J X R,ر,ص,ح,R,X,J,1000,20000
ر س ع,E S R,ر,س,ع,R,S,E,8888,30000
ر ح ن,N J R,ر,ح,ن,R,J,N,5000,15000
ر ب ص,X B R,ر,ب,ص,R,B,X,4000,15000
ه ل ى,V L H,ه,ل,ى,H,L,V,87,15000
