"chakra-text 4","chakra-text 5","chakra-text 6","chakra-text 7","chakra-text 8","chakra-text 9","chakra-text 10","chakra-text 14","chakra-text 16"
"ب","ح","ر","B","J","R","1003","2025-03-12","على السوم"
"س","ل","م","S","L","Z","776","2025-03-12","على السوم"
"م","و","ى","Z","U","V","999","2025-03-12","55000"
"ل","ع","ح","L","E","J","211","2025-03-12","على السوم"
"ب","ن","ى","B","N","V","51","2025-03-12","13000"
"ر","ب","أ","R","B","A","7731","2025-03-12","3500"
"د","ح","ك","D","J","K","2006","2025-03-12","8000"
"ص","ص","ص","X","X","X","109","2025-03-12","21500"
"و","ل","ص","U","L","X","88","2025-03-12","22000"
"س","هـ","م","S","H","Z","703","2025-03-12","20000"
"أ","و","ل","A","U","L","7843","2025-03-12","على السوم"
"ح","ى","هـ","J","V","H","6555","2025-03-12","على السوم"
"د","ع","د","D","E","D","640","2025-03-12","على السوم"
"ص","و","ك","X","U","K","69","2025-03-12","18000"
"ح","ر","ق","J","R","G","52","2025-03-11","على السوم"
"أ","س","د","A","S","D","1558","2025-03-11","على السوم"
"ب","ع","ب","B","E","B","7773","2025-03-11","على السوم"
"ر","أ","س","R","A","S","5004","2025-03-11","على السوم"
"أ","أ","هـ","A","A","H","7999","2025-03-11","على السوم"
