char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
ق م ر,R Z G,ق,م,ر,G,Z,R,436,22500
ح ر ب,B R J,ح,ر,ب,J,R,B,5008,20000
م ر هـ,H R Z,م,ر,هـ,Z,R,H,68,20000
ر م س,S Z R,ر,م,س,R,Z,S,8888,37000
أ هـ م,Z H A,أ,هـ,م,A,H,Z,97,20000
ر ن س,S N R,ر,ن,س,R,N,S,2929,8000
ل ى د,D V L,ل,ى,د,L,V,D,222,23000
د د ع,E D D,د,د,ع,D,D,E,4242,1500
د ك ق,G K D,د,ك,ق,D,K,G,5555,45000
و أ ط,T A U,و,أ,ط,U,A,T,12,1000000
ق ى م,Z V G,ق,ى,م,G,V,Z,1,1000000
ق ط ح,J T G,ق,ط,ح,G,T,J,43,12000
ر ح ط,T J R,ر,ح,ط,R,J,T,6662,14000
ل ق د,D G L,ل,ق,د,L,G,D,6,90000
د ل هـ,H L D,د,ل,هـ,D,L,H,3,65000
أ ص ن,N X A,أ,ص,ن,A,X,N,9449,5000
ح ب ق,G B J,ح,ب,ق,J,B,G,9444,3000
د م ع,E Z D,د,م,ع,D,Z,E,16,30000
أ س د,D S A,أ,س,د,A,S,D,188,80000
ب ع و,U E B,ب,ع,و,B,E,U,9999,11000
ح ن و,U N J,ح,ن,و,J,N,U,7591,3000
ح أ د,D A J,ح,أ,د,J,A,D,1441,5000
س ن ر,R N S,س,ن,ر,S,N,R,1,2500000
د هـ م,Z H D,د,هـ,م,D,H,Z,116,40000
ط ط ل,L T T,ط,ط,ل,T,T,L,282,6000
ن ح ل,L J N,ن,ح,ل,N,J,L,3,155000
هـ ح ل,L J H,هـ,ح,ل,H,J,L,166,35000
م د أ,A D Z,م,د,أ,Z,D,A,30,35000
ب ب ب,B B B,ب,ب,ب,B,B,B,8649,7000
ب ل و,U L B,ب,ل,و,B,L,U,1,200000
ح ل ى,V L J,ح,ل,ى,J,L,V,5000,22000
ع ص ص,X X E,ع,ص,ص,E,X,X,666,35000
و ل و,U L U,و,ل,و,U,L,U,800,35000
د ر ط,T R D,د,ر,ط,D,R,T,3,75000
ح س ن,N S J,ح,س,ن,J,S,N,1151,15000
م ن و,U N Z,م,ن,و,Z,N,U,196,11000
ى ل ق,G L V,ى,ل,ق,V,L,G,499,20000
ر ن أ,A N R,ر,ن,أ,R,N,A,1460,5000
س ل و,U L S,س,ل,و,S,L,U,64,25000
س أ ر,R A S,س,أ,ر,S,A,R,999,150000
ب ص د,D X B,ب,ص,د,B,X,D,1313,30000
ر ع ب,B E R,ر,ع,ب,R,E,B,588,25000
ى ر د,D R V,ى,ر,د,V,R,D,552,7500
ل ى د,D V L,ل,ى,د,L,V,D,79,15000
ط ل هـ,H L T,ط,ل,هـ,T,L,H,5,300000
م ع ط,T E Z,م,ع,ط,Z,E,T,534,5000
ح و ب,B U J,ح,و,ب,J,U,B,3333,60000
ل ص ص,X X L,ل,ص,ص,L,X,X,3,130000
م ع ب,B E Z,م,ع,ب,Z,E,B,62,20000
ح ل م,Z L J,ح,ل,م,J,L,Z,4113,7000
ر ر هـ,H R R,ر,ر,هـ,R,R,H,30,23000
و ن س,S N U,و,ن,س,U,N,S,991,15000
ر و ن,N U R,ر,و,ن,R,U,N,666,68000
ر ح ل,L J R,ر,ح,ل,R,J,L,2030,350000
ب ع هـ,H E B,ب,ع,هـ,B,E,H,7107,5000
ط هـ ى,V H T,ط,هـ,ى,T,H,V,101,22000
ب ط و,U T B,ب,ط,و,B,T,U,91,17500
هـ ن ر,R N H,هـ,ن,ر,H,N,R,950,8500
ح د ح,J D J,ح,د,ح,J,D,J,8888,60000
ل ل د,D L L,ل,ل,د,L,L,D,70,18500
ى ق س,S G V,ى,ق,س,V,G,S,88,21500
